Info 0    [20:52:55.390] Starting TS Server
Info 1    [20:52:55.390] Version: 3.7.4
Info 2    [20:52:55.391] Arguments: /usr/bin/node /home/michael/.emacs.d/.cache/lsp/npm/typescript/bin/tsserver --logFile /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/ba7a728f8cf366160210546e6a28966f/tscancellation*
Info 3    [20:52:55.391] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [20:52:55.401] Search path: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/lib
Info 5    [20:52:55.401] For info: /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/lib/categories.js :: No config files found.
Info 6    [20:52:55.404] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [20:52:56.174] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 769.5839009992778ms
Info 8    [20:52:56.174] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [20:52:56.174] 	Files (10)

Info 10   [20:52:56.174] -----------------------------------------------
Info 11   [20:53:4.352] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [20:53:4.356] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 3.789760999381542ms
Info 13   [20:53:4.356] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [20:53:6.690] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [20:53:6.692] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 1.4136580005288124ms
Info 16   [20:53:6.692] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 17   [20:53:6.692] Structure before ensureProjectForOpenFiles:
Info 18   [20:53:6.692] Structure after ensureProjectForOpenFiles:
Info 19   [20:53:6.692] got projects updated in background, updating diagnostics for /home/michael/Soft/Kokopelli-Interfaces/kokopelli-vcv.github.io/lib/categories.js
Info 20   [20:53:7.272] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [20:53:7.275] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 2.9143319986760616ms
Info 22   [20:53:7.275] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 23   [20:53:22.479] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [20:53:22.482] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 2.6864099986851215ms
Info 25   [20:53:22.482] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 26   [20:53:22.975] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [20:53:22.978] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 2.5030529983341694ms
Info 28   [20:53:22.978] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 29   [20:53:23.359] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
